"aarskog syndrome","PMH0002619"
"cleidocranial dysostosis","PMH0002556"
"cloudy cornea","PMH0003800"
"clubbing of the fingers or toes","PMH0003766"
"clubfoot","PMH0002208"
"cluster headache","PMH0001790"
"cmv - gastroenteritis/colitis","PMH0001688"
"cmv - pneumonia","PMH0001685"
"coal worker's pneumoconiosis","PMH0001187"
"coarctation of the aorta","PMH0001242"
"cocaine intoxication","PMH0001942"
"cocaine withdrawal","PMH0001943"
"cold intolerance","PMH0003584"
"colic and crying","PMH0001973"
"colitis","PMH0002112"
"collagen vascular disease","PMH0002203"
"collapsed lung","PMH0001151"
"coloboma of the iris","PMH0003801"
"colon cancer","PMH0001308"
"color blindness","PMH0001997"
"colorado tick fever","PMH0001696"
"colorectal polyps","PMH0001312"
"comedones","PMH0003720"
"common cold","PMH0001698"
"common peroneal nerve dysfunction","PMH0001795"
"compartment syndrome","PMH0002204"
"complex regional pain syndrome","PMH0004456"
"compression fractures of the back","PMH0001479"
"concussion","PMH0001802"
"conduct disorder","PMH0001917"
"confusion","PMH0003689"
"congenital adrenal hyperplasia","PMH0001448"
"congenital afibrinogenemia","PMH0002290"
"congenital antithrombin iii deficiency","PMH0001584"
"congenital cataract","PMH0002582"
"congenital cytomegalovirus","PMH0002319"
"congenital heart disease","PMH0002103"
"congenital nephrotic syndrome","PMH0002543"
"congenital platelet function defects","PMH0001608"
"congenital protein c or s deficiency","PMH0001585"
"congenital rubella","PMH0002623"
"congenital spherocytic anemia","PMH0001557"
"congenital syphilis","PMH0002320"
"congenital toxoplasmosis","PMH0002336"
"conjunctivitis","PMH0002005"
"constipation","PMH0003612"
"contact dermatitis","PMH0001872"
"contracture deformity","PMH0003670"
"conversion disorder","PMH0001950"
"cor pulmonale","PMH0001186"
"corneal injury","PMH0002012"
"corneal ulcers and infections","PMH0002027"
"corns and calluses","PMH0002212"
"coronary artery fistula","PMH0004568"
"coronary artery spasm","PMH0001212"
"coronary heart disease","PMH0004449"
"costochondritis","PMH0001217"
"cough","PMH0003563"
"coughing up blood","PMH0003564"
"cranial mononeuropathy iii","PMH0001718"
"cranial mononeuropathy iii - diabetic type","PMH0001712"
"cranial mononeuropathy vi","PMH0001710"
"craniopharyngioma","PMH0001385"
"craniosynostosis","PMH0002557"
"craniotabes","PMH0002558"
"creeping eruption","PMH0002425"
"creutzfeldt-jakob disease","PMH0001792"
"cri du chat syndrome","PMH0002560"
"crigler-najjar syndrome","PMH0002114"
"crohn's disease","PMH0001295"
"croup","PMH0001955"
"crying - excessive (0-6 months)","PMH0003514"
"cryoglobulinemia","PMH0001567"
"cryptococcosis","PMH0002304"
"cryptosporidium enteritis","PMH0001642"
"csf leak","PMH0002063"
"culture-negative endocarditis","PMH0001679"
"curvature of the penis","PMH0002257"
"cushing syndrome","PMH0001447"
"cushing syndrome - exogenous","PMH0001426"
"cushing syndrome due to adrenal tumor","PMH0001444"
"cushing’s disease","PMH0001388"
"cutaneous skin tag","PMH0001851"
"cyanotic heart disease","PMH0002094"
"cyclothymic disorder","PMH0002517"
"cyst","PMH0003724"
"cystic fibrosis","PMH0001167"
"cystic fibrosis - nutritional considerations","PMH0003089"
"cystic hygroma","PMH0001203"
"cysticercosis","PMH0001651"
"cystinuria","PMH0001386"
"cystitis - acute","PMH0001553"
"cystitis - noninfectious","PMH0001543"
"cytomegalovirus retinitis","PMH0001686"
"dacryoadenitis","PMH0002592"
"decerebrate posture","PMH0003783"
"decorticate posture","PMH0003784"
"deep venous thrombosis","PMH0001209"
"dehydration","PMH0001977"
"delayed ejaculation","PMH0002678"
"delayed growth","PMH0003512"
"delirium","PMH0001749"
"delirium tremens","PMH0001771"
"delta agent (hepatitis d)","PMH0001264"
"dementia","PMH0001748"
"dementia due to metabolic causes","PMH0001703"
"dengue fever","PMH0002350"
"dengue hemorrhagic fever","PMH0002349"
"dental cavities","PMH0002050"
"dependent personality disorder","PMH0001937"
"depression","PMH0003697"
"depression - elderly","PMH0002489"
"dermatitis herpetiformis","PMH0002451"
"dermatomyositis","PMH0001842"
"dermatoses - systemic","PMH0002452"
"developmental coordination disorder","PMH0002500"
"developmental disorders of the female reproductive tract","PMH0002466"
"developmental dysplasia of the hip","PMH0001966"
"developmental reading disorder","PMH0002379"
"dextrocardia","PMH0004579"
"diabetes","PMH0002194"
"diabetes and eye disease","PMH0002192"
"diabetes and kidney disease","PMH0001524"
"diabetes insipidus","PMH0001415"
"diabetes insipidus - central","PMH0001495"
"diabetes insipidus - nephrogenic","PMH0001540"
"diabetic hyperglycemic hyperosmolar syndrome","PMH0001349"
"diabetic ketoacidosis","PMH0001363"
"diabetic neuropathy","PMH0001713"
"diaper rash","PMH0001960"
"diaphragmatic hernia","PMH0002120"
"diarrhea","PMH0003613"
"diastasis recti","PMH0002569"
"diffuse interstitial lung disease","PMH0001185"
"digitalis toxicity","PMH0001218"
"dilated cardiomyopathy","PMH0001221"
"diphtheria","PMH0002575"
"diskitis","PMH0001988"
"disorder of written expression","PMH0002510"
"disseminated tuberculosis","PMH0001648"
"distal median nerve dysfunction","PMH0001711"
"distal renal tubular acidosis","PMH0001523"
"diverticulitis","PMH0001303"
"dizziness","PMH0003582"
"donovanosis (granuloma inguinale)","PMH0001660"
"double aortic arch","PMH0004569"
"double inlet left ventricle","PMH0004580"
"double outlet right ventricle","PMH0004581"
"down syndrome","PMH0001992"
"drooling","PMH0003539"
"drowsiness","PMH0003692"
"drug allergies","PMH0001822"
"drug dependence","PMH0002490"
"drug-induced diarrhea","PMH0001338"
"drug-induced hepatitis","PMH0001273"
"drug-induced hypertension","PMH0001208"
"drug-induced hypoglycemia","PMH0001354"
"drug-induced immune hemolytic anemia","PMH0001604"
"drug-induced lupus erythematosus","PMH0001482"
"drug-induced pulmonary disease","PMH0001165"
"drug-induced tremor","PMH0001770"
"dry eye syndrome","PMH0001462"
"dry eyes","PMH0003576"
"dry hair","PMH0003729"
"dry skin","PMH0003734"
"dubin-johnson syndrome","PMH0001288"
"duchenne muscular dystrophy","PMH0001724"
"duodenal atresia","PMH0002117"
"dupuytren’s contracture","PMH0002213"
"dysarthria","PMH0004947"
"dyscrasias","PMH0002274"
"dysfunctional uterine bleeding (dub)","PMH0001905"
"dyshidrotic eczema","PMH0001835"
"dysthymia","PMH0001916"
"e. coli enteritis","PMH0001341"
"ear barotrauma","PMH0002059"
"ear discharge","PMH0003533"
"ear infection - acute","PMH0001662"
"ear infection - chronic","PMH0001644"
"ear tag","PMH0003788"
"ear wax","PMH0001974"
"earache","PMH0003537"
"earlobe creases","PMH0003536"
"ebola hemorrhagic fever","PMH0002315"
"ebstein's anomaly","PMH0004574"
"echinococcus","PMH0001697"
"echo virus","PMH0002316"
"eclampsia","PMH0001901"
"ecthyma","PMH0001867"
"ectodermal dysplasia","PMH0002440"
"ectopic adh secretion","PMH0001357"
"ectopic cushing syndrome","PMH0001443"
"ectopic heartbeat","PMH0002090"
"ectopic pregnancy","PMH0001897"
"ectropion","PMH0002002"
"ehlers-danlos syndrome","PMH0002439"
"ehrlichiosis","PMH0002357"
"eisenmenger syndrome","PMH0004570"
"elbow pain","PMH0003658"
"ellis-van creveld syndrome","PMH0002632"
"empty sella syndrome","PMH0001389"
"empyema","PMH0001181"
"encephalitis","PMH0002388"
"encopresis","PMH0002537"
"end-stage kidney disease","PMH0001529"
"endocardial cushion defect","PMH0004577"
"endocarditis","PMH0002088"
"endometrial cancer","PMH0001908"
"endometriosis","PMH0001913"
"endometritis","PMH0002454"
"endophthalmitis","PMH0002593"
"enlarged adenoids","PMH0002615"
"enlarged prostate","PMH0001419"
"enteritis","PMH0002134"
"entropion","PMH0002003"
"eosinophilic fasciitis","PMH0001483"
"epicanthal folds","PMH0003521"
"epidermolysis bullosa","PMH0002428"
"epididymitis","PMH0002258"
"epidural abscess","PMH0002389"
"epiglottitis","PMH0001630"
"epilepsy","PMH0001714"
"episcleritis","PMH0002014"
"epispadias","PMH0002264"
"epstein pearls","PMH0002570"
"erection problems","PMH0003650"
"erosion","PMH0003709"
"erysipelas","PMH0001643"
"erysipeloid","PMH0001656"
"erythema multiforme","PMH0001854"
"erythema nodosum","PMH0001884"
"erythema toxicum","PMH0002429"
"erythrasma","PMH0002441"
"erythroplasia of queyrat","PMH0002277"
"esophageal atresia","PMH0001957"
"esophageal cancer","PMH0001328"
"esophageal perforation","PMH0001278"
"esophageal spasm","PMH0001334"
"esophageal stricture - benign","PMH0001256"
"esophagitis","PMH0002138"
"esophagitis - infectious","PMH0001669"
"essential tremor","PMH0001768"
"ethmoiditis","PMH0002596"
"ethylene glycol intoxication","PMH0001778"
"eustachian tube patency","PMH0002597"
"ewing’s sarcoma","PMH0002279"
"excessive or unwanted hair in women","PMH0003635"
"exfoliative dermatitis","PMH0002577"
"extradural hemorrhage","PMH0002385"
"eye - foreign object in","PMH0002777"
"eye burning - itching and discharge","PMH0003525"
"eye floaters","PMH0002778"
"eye pain","PMH0003523"
"eye redness","PMH0003522"
"eyelid bump","PMH0002004"
"eyelid drooping","PMH0002013"
"eyelid twitch","PMH0001763"
"eyes - bulging","PMH0003524"
"face pain","PMH0003518"
"facial nerve palsy due to birth trauma","PMH0002398"
"facial paralysis","PMH0003519"
"facial swelling","PMH0003593"
"facial tics","PMH0002383"
"facial trauma","PMH0002057"
"facioscapulohumeral muscular dystrophy","PMH0001726"
"factitious hyperthyroidism","PMH0001353"
"factor ii deficiency","PMH0001576"
"factor v deficiency","PMH0001577"
"factor vii deficiency","PMH0001575"
"factor x deficiency","PMH0001580"
"factor xii (hageman factor) deficiency","PMH0001572"
"failure to thrive","PMH0001986"
"fainting","PMH0003581"
"familial combined hyperlipidemia","PMH0001433"
"familial dysbetalipoproteinemia","PMH0001439"
"familial hypercholesterolemia","PMH0001429"
"familial hypertriglyceridemia","PMH0001434"
"familial lipoprotein lipase deficiency","PMH0001445"
"familial mediterranean fever","PMH0001402"
"fanconi syndrome","PMH0001374"
"fanconi's anemia","PMH0001375"
"farsightedness","PMH0002015"
"fatigue","PMH0003577"
"febrile seizures","PMH0001975"
"fecal impaction","PMH0001277"
"felty syndrome","PMH0001481"
"female pattern baldness","PMH0002156"
"femoral hernia","PMH0002121"
"femoral nerve dysfunction","PMH0001707"
"fetal alcohol syndrome","PMH0001909"
"fever","PMH0003579"
"fibrinolysis - primary or secondary","PMH0001603"
"fibroadenoma - breast","PMH0004482"
"fibrocystic breast changes","PMH0001910"
"fibromyalgia","PMH0001463"
"fibrous dysplasia","PMH0002214"
"fifth disease","PMH0001972"
"finger pain","PMH0003732"
"fingers that change color","PMH0003733"
"fish tapeworm","PMH0002351"
"flank pain","PMH0003600"
"flat feet","PMH0002242"
"fleas","PMH0002305"
"flu","PMH0001144"
"fluid imbalance","PMH0002169"
"focal neurological deficits","PMH0003675"
"focal segmental glomerulosclerosis","PMH0001509"
"folate deficiency","PMH0001394"
"folate-deficiency anemia","PMH0001578"
"folliculitis","PMH0001826"
"fontanelles - bulging","PMH0003794"
"fontanelles - enlarged","PMH0003795"
"fontanelles - sunken","PMH0003793"
"food allergy","PMH0001820"
"food poisoning","PMH0002618"
"foot pain","PMH0003669"
"foot pain causes","PMH0002785"
"foot, leg, and ankle swelling","PMH0003592"
"fractured clavicle in the newborn","PMH0002555"
"fragile x syndrome","PMH0002633"
"frequent or urgent urination","PMH0003627"
"friedreich's ataxia","PMH0002384"
"frontal bossing","PMH0003785"
"frozen shoulder","PMH0001490"
"fuchs' dystrophy","PMH0004550"
"fungal arthritis","PMH0001480"
"fungal nail infection","PMH0002306"
"fusion of the ear bones","PMH0002599"
"galactosemia","PMH0001405"
"gallstones","PMH0001318"
"ganglioneuroblastoma","PMH0002408"
"ganglioneuroma","PMH0002409"
"gangrene","PMH0004484"
"gas - flatulence","PMH0003611"
"gas gangrene","PMH0001645"
"gastric cancer","PMH0001270"
"gastritis","PMH0002135"
"gastroesophageal reflux disease","PMH0001311"
"gastroesophageal reflux in infants","PMH0002119"
"gastrointestinal bleeding","PMH0003620"
"gastrointestinal fistula","PMH0002115"
"gastrointestinal perforation","PMH0001282"
"gastroparesis","PMH0001342"
"gastroschisis","PMH0001987"
"gaucher disease","PMH0001590"
"gender identity disorder","PMH0002495"
"general paresis","PMH0001756"
"generalized anxiety disorder","PMH0001915"
"generalized tonic-clonic seizure","PMH0001715"
"genital herpes","PMH0001860"
"genital sores - female","PMH0003706"
"genital sores - male","PMH0003705"
"genital warts","PMH0001889"
"geographic tongue","PMH0002044"
"gestational diabetes","PMH0001898"
"gestational trophoblastic disease","PMH0004585"
"giant congenital nevus","PMH0002424"
"giardia infection","PMH0001333"
"gigantism","PMH0002157"
"gilbert's disease","PMH0001346"
"gilles de la tourette syndrome","PMH0001744"
"gingivitis","PMH0002051"
"gingivostomatitis","PMH0002047"
"glanzmann’s disease","PMH0002282"
"glaucoma","PMH0002587"
"glomerulonephritis","PMH0001515"
"glomus jugulare tumor","PMH0002600"
"glomus tympanum tumor","PMH0002601"
"glossitis","PMH0002048"
"glossopharyngeal neuralgia","PMH0002602"
"glucagonoma","PMH0001367"
"glucose-6-phosphate dehydrogenase deficiency","PMH0001555"
"goiter - simple","PMH0002161"
"gonococcal arthritis","PMH0001489"
"gonorrhea","PMH0004526"
"goodpasture syndrome","PMH0001197"
"gout","PMH0001459"
"graft-versus-host disease","PMH0002286"
"granuloma annulare","PMH0001836"
"graves disease","PMH0001398"
"grief","PMH0002497"
"groin lump","PMH0003589"
"groin pain","PMH0003598"
"group b streptococcal septicemia of the newborn","PMH0002342"
"growth hormone deficiency - children","PMH0002159"
"guillain-barre syndrome","PMH0001704"
"gumma","PMH0001862"
"gums - swollen","PMH0003557"
"gynecomastia","PMH0003651"
"h1n1 (swine) influenza","PMH0004664"
"hair loss","PMH0003730"
"hairy cell leukemia","PMH0001618"
"hallervorden-spatz disease","PMH0002205"
"hallucinations","PMH0003742"
"hammer toe","PMH0002215"
"hand or foot spasms","PMH0003678"
"hand-foot-mouth disease","PMH0001961"
"hantavirus","PMH0002358"
"hardening of the arteries","PMH0001224"
"hartnup disorder","PMH0002181"
"head lice","PMH0001843"
"headache","PMH0003515"
"hearing loss","PMH0003535"
"hearing loss - infants","PMH0004575"
"heart attack","PMH0001246"
"heart failure overview","PMH0001211"
"heart murmurs and other sounds","PMH0003750"
"heart palpitations","PMH0003572"
"heartburn","PMH0003601"
"heat intolerance","PMH0003583"
"heel pain","PMH0003667"
"hellp syndrome","PMH0001892"
"hemangioma","PMH0002430"
"hemochromatosis","PMH0001368"
"hemoglobin c disease","PMH0001598"
"hemoglobinopathy","PMH0002269"
"hemolytic anemia","PMH0001597"
"hemolytic anemia caused by chemicals and toxins","PMH0001616"
"hemolytic crisis","PMH0003754"
"hemolytic disease of the newborn","PMH0002275"
"hemolytic-uremic syndrome","PMH0001539"
"hemophilia","PMH0001564"
"hemophilia a","PMH0001565"
"hemophilia b","PMH0001566"
"hemorrhagic disease of the newborn","PMH0004573"
"hemorrhoids","PMH0001337"
"hemothorax","PMH0001183"
"henoch-schonlein purpura","PMH0001461"
"hepatic encephalopathy","PMH0001347"
"hepatic hemangioma","PMH0001289"
"hepatic ischemia","PMH0001262"
"hepatic vein obstruction (budd-chiari)","PMH0001286"
"hepatitis","PMH0002139"
"hepatitis a","PMH0001323"
"hepatitis b","PMH0001324"
"hepatitis c","PMH0001329"
"hepatocellular carcinoma","PMH0001325"
"hepatocerebral degeneration","PMH0002368"
"hepatomegaly","PMH0003759"
"hepatorenal syndrome","PMH0001519"
"hereditary amyloidosis","PMH0001407"
"hereditary angioedema","PMH0002427"
"hereditary elliptocytosis","PMH0001589"
"hereditary fructose intolerance","PMH0001399"
"hereditary ovalocytosis","PMH0001592"
"hereditary urea cycle abnormality","PMH0001410"
"hernia","PMH0001956"
"herniated disk","PMH0001478"
"herpangina","PMH0001964"
"herpes - oral","PMH0001631"
"herpetic stomatitis","PMH0002359"
"heterochromia","PMH0003802"
"hiatal hernia","PMH0002122"
"hiccups","PMH0003559"
