CDEs, Frequency (0-1 normalized), UMLS Semantic Types
serum magnesium finding,1,finding,
infection of kidney,1,disease or syndrome,
therapeutic procedure,1,enzyme - finding - therapeutic or preventive procedure,
dangerous behavior,1,individual behavior,
anxiety disorders,1,finding - mental or behavioral dysfunction,
citalopram,1,organic chemical - pharmacologic substance,
drowsiness,1,finding,
flatulence,1,finding - sign or symptom,
electrolytes,1,inorganic chemical - pharmacologic substance,
as if personality,1,mental or behavioral dysfunction,
hypoxia,1,finding - pathologic function,
physical findings,1,finding,
anemia,1,disease or syndrome,
mental tests,1,diagnostic procedure,
incoherent,1,finding,
body fluids,1,biologically active substance - body substance - pharmacologic substance,
magnetic resonance imaging,1,diagnostic procedure,
abnormal result,1,finding,
immobilization,1,therapeutic or preventive procedure,
incontinence,1,disease or syndrome,
vitamins,1,organic chemical - pharmacologic substance,
euphoria adverse event,1,finding,
finding of creatine kinase level,1,finding,
nutrition disorders,1,disease or syndrome,
liver function,1,organ or tissue function,
encephalopathies,1,disease or syndrome - finding,
indifferent mood,1,sign or symptom,
retrograde amnesia,1,mental or behavioral dysfunction,
memory observations,1,finding,
irritable mood,1,finding,
hearing examination finding,1,finding,
liver failure,1,disease or syndrome,
level of consciousness,1,finding,
acquired immunodeficiency syndrome,1,disease or syndrome,
cat scan of head,1,diagnostic procedure,
consciousness clear,1,finding - organic chemical - pharmacologic substance,
prophylactic treatment,1,therapeutic or preventive procedure,
change in mental status,1,sign or symptom,
risperidone,1,organic chemical - pharmacologic substance,
urinary bladder,1,body part organ or organ component,
plain x-ray,1,diagnostic procedure,
screening for cancer,1,diagnostic procedure,
consciousness related finding,1,finding,
electroencephalogram,1,diagnostic procedure - laboratory or test result,
quetiapine,1,organic chemical - pharmacologic substance,
treated with,1,therapeutic or preventive procedure,
change of medication,1,therapeutic or preventive procedure,
heart,1,body part organ or organ component - pharmacologic substance,
haloperidol,1,organic chemical - pharmacologic substance,
tissue damage,1,injury or poisoning,
electroencephalography,1,diagnostic procedure - finding - laboratory or test result,
poisons,1,hazardous or poisonous substance,
very low,1,finding,
hydrocodone,1,organic chemical - pharmacologic substance,
brain injuries,1,injury or poisoning,
thyroid diseases,1,body part organ or organ component - disease or syndrome - pharmacologic substance,
dementia,1,mental or behavioral dysfunction,
disorganized thinking,1,finding,
diazepam,1,organic chemical - pharmacologic substance,
analgesics,1,organic chemical - pharmacologic substance,
chest x-ray,1,diagnostic procedure,
apical segmental bronchus,1,body part organ or organ component,
amnesia anterograde,1,mental or behavioral dysfunction,
recreational drugs,1,hazardous or poisonous substance,
behavior therapy,1,therapeutic or preventive procedure,
cognitive therapy,1,diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure,
hematologic agents,1,pharmacologic substance,
blood gas,1,organ or tissue function,
mri of head,1,diagnostic procedure,
cerebrovascular accident,1,disease or syndrome - therapeutic or preventive procedure,
morphine,1,organic chemical - pharmacologic substance,
codeine,1,organic chemical - pharmacologic substance,
carbon dioxide increased,1,finding,
dopamine antagonists,1,pharmacologic substance,
cataract adverse event,1,finding,
mental disorders,1,mental or behavioral dysfunction,
chronic disease,1,disease or syndrome,
